3,30.716117,47, 1, 2
4,5.987830,0, 1, 2
5,4.983475,0, 1, 2
6,3.368390,0, 1, 2
7,2.592514,1, 1, 2
8,1.651864,0, 1, 2
9,2.133393,0, 1, 2
10,1.681340,0, 1, 2
11,1.473242,0, 1, 2
12,1.542197,0, 1, 2
13,1.286802,0, 1, 2
14,1.063128,0, 1, 2
15,1.005857,0, 1, 2
3,11.996160,0, 2, 1
4,2.415672,0, 2, 1
5,1.343781,0, 2, 1
6,0.847180,0, 2, 1
7,0.767963,0, 2, 1
8,0.496650,0, 2, 1
9,0.462009,0, 2, 1
10,0.473180,0, 2, 1
11,0.305767,0, 2, 1
12,0.243478,0, 2, 1
13,0.452174,0, 2, 1
14,0.320495,0, 2, 1
15,0.273264,0, 2, 1
3,166.371786,479, 1, 1
4,26.021382,0, 1, 1
5,7.131712,0, 1, 1
6,5.222613,0, 1, 1
7,3.952703,0, 1, 1
8,2.461602,0, 1, 1
9,2.426335,0, 1, 1
10,1.757605,0, 1, 1
11,1.876804,0, 1, 1
